"","time.list"
"1",15
"2",15
"3",14.0237700560413
"4",13.7199111631871
"5",13.1217977114223
"6",12.5830992827645
"7",12.285800456149
"8",12.2085210095834
"9",12.1566310966418
"10",11.824961748189
"11",11.3986177336249
"12",10.9192322336891
"13",10.7449565794642
"14",9.77977404491254
"15",9.40159440298173
"16",9.32796878485549
"17",9.18855055786218
"18",9.01015838818009
"19",8.72731657923008
"20",8.72210083194928
"21",8.66875510075166
"22",8.22219019464574
"23",8.04145189779486
"24",6.87620511244056
"25",6.58197979511278
"26",6.56598503697529
"27",6.21500027203017
"28",5.7725528349927
"29",5.22222230143299
"30",4.87920327432539
"31",0
