"","time.end"
"1",6
"2",31
"3",64
"4",25
"5",17
"6",14
"7",24
"8",20
"9",115
"10",38
"11",41
"12",33
"13",74
"14",124
"15",185
"16",71
"17",120
"18",45
"19",99
"20",47
"21",210
"22",54
"23",151
"24",57
"25",100
"26",149
"27",86
"28",92
"29",157
"30",54
"31",69
"32",74
"33",45
"34",54
"35",185
"36",69
"37",59
"38",76
"39",139
"40",236
"41",66
"42",72
"43",177
"44",131
"45",82
"46",119
"47",108
"48",134
"49",129
"50",185
"51",157
"52",170
"53",95
"54",182
"55",144
"56",108
"57",339
"58",123
"59",137
"60",127
"61",113
"62",180
"63",226
"64",202
"65",223
"66",164
"67",201
"68",140
"69",137
"70",181
"71",143
"72",236
"73",156
"74",339
"75",157
"76",129
"77",144
"78",169
"79",168
"80",147
"81",155
"82",177
"83",205
"84",173
"85",198
"86",282
"87",140
"88",210
"89",185
"90",154
"91",177
"92",165
"93",257
"94",231
"95",218
"96",184
"97",171
"98",185
"99",185
"100",193
"101",245
"102",185
"103",204
"104",182
"105",236
"106",221
"107",200
"108",269
"109",224
"110",212
"111",232
"112",314
"113",229
"114",278
"115",242
"116",243
"117",260
"118",250
"119",265
"120",339
"121",306
"122",234
"123",249
"124",280
"125",279
"126",317
"127",299
"128",252
"129",323
"130",300
"131",304
"132",339
"133",263
"134",322
"135",275
"136",336
"137",259
"138",327
"139",339
"140",339
"141",307
"142",273
"143",309
"144",339
"145",274
"146",298
"147",339
"148",303
"149",301
"150",339
"151",339
"152",290
"153",319
"154",339
"155",330
"156",339
"157",318
"158",339
"159",339
"160",339
"161",339
"162",339
"163",339
"164",320
"165",339
"166",325
"167",325
"168",311
"169",334
"170",339
"171",339
"172",332
"173",339
"174",339
"175",337
"176",339
"177",331
"178",339
"179",339
"180",339
"181",339
"182",339
"183",339
"184",339
"185",339
