"","time.list"
"1",69.2
"2",69.2
"3",64.95
"4",64.9
"5",64.87
"6",64.85
"7",64.8
"8",63.7
"9",62.3
"10",62
"11",61.2
"12",61.15
"13",60.9
"14",60.9
"15",60.8
"16",60.75
"17",60.7
"18",60.5
"19",60.2
"20",59.7
"21",59.5
"22",59.4
"23",59.38
"24",59.3
"25",59.3
"26",58.8
"27",58.7
"28",58
"29",56.2
"30",56.2
"31",55.9
"32",55.9
"33",55.9
"34",55.88
"35",55.85
"36",55.7
"37",55.6
"38",55.55
"39",55.5
"40",55.5
"41",55.45
"42",55.45
"43",55.4
"44",55.4
"45",55.3
"46",55.3
"47",55.3
"48",55.2
"49",54.6
"50",54.5
"51",54.5
"52",54.5
"53",54.5
"54",54.45
"55",54.45
"56",54.45
"57",54.2
"58",54.1
"59",54
"60",54
"61",53.5
"62",53.2
"63",52.6
"64",52.5
"65",52.4
"66",51.6
"67",51.6
"68",51.5
"69",50.9
"70",50.9
"71",50.8
"72",50.8
"73",50.8
"74",50.4
"75",50.4
"76",50.4
"77",49.55
"78",49.55
"79",49.55
"80",49.25
"81",48.7
"82",48.7
"83",48.4
"84",48.1
"85",47.55
"86",47.55
"87",47.55
"88",47.25
"89",47.2
"90",47.19
"91",46.4
"92",46.4
"93",46.15
"94",45.7
"95",45.4
"96",45.35
"97",45.25
"98",45.25
"99",45.2
"100",45.15
"101",45
"102",44.65
"103",44.6
"104",44.5
"105",44.5
"106",44.35
"107",44.15
"108",44
"109",44
"110",44
"111",43.95
"112",43.9
"113",43.9
"114",43.85
"115",43.8
"116",43.75
"117",43.75
"118",43.7
"119",43.6
"120",43.6
"121",43.4
"122",43.2
"123",43.1
"124",43
"125",43
"126",42.8
"127",42.7
"128",42.4
"129",42.3
"130",42.3
"131",42.3
"132",41.7
"133",41.6
"134",41.4
"135",41.3
"136",41
"137",40.5
"138",40.5
"139",40.5
"140",40.3
"141",40.3
"142",40.3
"143",40.1
"144",40
"145",40
"146",40
"147",39.8
"148",39.4
"149",39.3
"150",39
"151",38.8
"152",38.5
"153",38.4
"154",38.2
"155",38.1
"156",38
"157",38
"158",38
"159",38
"160",38
"161",37.9
"162",37.5
"163",37.3
"164",37.3
"165",37.2
"166",37.2
"167",36.4
"168",36.3
"169",36
"170",35.8
"171",35.8
"172",35.8
"173",35.5
"174",34.5
"175",34.5
"176",34.4
"177",34.3
"178",34.3
"179",34.3
"180",34.3
"181",34
"182",33.8
"183",33.8
"184",33.8
"185",33.7
"186",33.7
"187",33.7
"188",33.7
"189",33.7
"190",33.7
"191",33.7
"192",33.4
"193",32.9
"194",32.9
"195",32.9
"196",32.9
"197",32.7
"198",32.6
"199",32.5
"200",32.2
"201",32.2
"202",32.1
"203",32.1
"204",32
"205",31.8
"206",30.5
"207",30.5
"208",30.4
"209",30.3
"210",30.3
"211",30.3
"212",30.25
"213",30.2
"214",29.8
"215",29.5
"216",29.4
"217",28.9
"218",28.5
"219",27.6
"220",27.5
"221",27.4
"222",27.3
"223",27.2
"224",27.2
"225",27.2
"226",27.1
"227",26.3
"228",25.5
"229",25.5
"230",25
"231",24.3
"232",24.1
"233",24.1
"234",23.8
"235",23.8
"236",23.8
"237",23.8
"238",23.8
"239",23.2
"240",22.7
"241",22.5
"242",22.5
"243",22.5
"244",22
"245",21.5
"246",21.5
"247",21.1
"248",21
"249",19.3
"250",18.8
"251",18.8
"252",18.8
"253",18.4
"254",18.3
"255",17.5
"256",17.3
"257",17.3
"258",17
"259",16.4
"260",16.3
"261",15.8
"262",15.15
"263",15.1
"264",15.1
"265",15.1
"266",14.8
"267",14.6
"268",14.3
"269",14.2
"270",13.8
"271",13.1
"272",12.1
"273",12.1
"274",12.1
"275",11.9
"276",11.5
"277",11.5
"278",11.4
"279",11.2
"280",10.9
"281",10.8
"282",10.8
"283",10.3
"284",10.2
"285",10
"286",8.20000000000001
"287",8.00000000000001
"288",7.5
"289",7.20000000000001
"290",6.70000000000001
"291",6.50000000000001
"292",5.80000000000001
"293",5.70000000000001
"294",5.70000000000001
"295",5.70000000000001
"296",5.5
"297",5.30000000000001
"298",4.80000000000001
"299",4.8
"300",4.8
"301",4.50000000000001
"302",4.5
"303",4.4
"304",4.30000000000001
"305",4.3
"306",4.00000000000001
"307",3.90000000000001
"308",3.8
"309",3.60000000000002
"310",3.5
"311",3.5
"312",3.39999999999999
"313",3.30000000000001
"314",3.3
"315",3.3
"316",3.20000000000001
"317",3
"318",2.40000000000001
"319",2.30000000000001
"320",2.20000000000001
"321",2.00000000000002
"322",2.00000000000001
"323",2.00000000000001
"324",2
"325",1.70000000000001
"326",1.70000000000001
"327",1.6
"328",1.6
"329",1.39999999999999
"330",1.30000000000001
"331",1.3
"332",1.19999999999999
"333",0.999999999999989
"334",0.900000000000003
"335",0.8
"336",0.600000000000012
"337",0.399999999999989
"338",0.3
"339",0
